中国人民大学,人大,人大商学院,,,,,,,,,,,,,
北京大学,北大,北大光华,北京大学光华管理学院,,,,,,,,,,,,
上海交通大学高级金融学院（北京）,上交高金,,,,,,,,,,,,,,
北大康奈尔,北康,,,,,,,,,,,,,,
清华大学经管学院,清华,清华经管,,,,,,,,,,,,,
清华大学五道口金融学院,清华五道口,五道口金融,清华康奈尔,清康,清康金融,,,,,,,,,,
北京航空航天大学,北航,,,,,,,,,,,,,,
北京师范大学,北师大,北师,,,,,,,,,,,,,
北京理工大学,北理,,,,,,,,,,,,,,
中国农业大学,北农,,,,,,,,,,,,,,
中央财经大学,央财,财大,,,,,,,,,,,,,
中国科学院大学,国科大,中科院,中科大,,,,,,,,,,,,
北京工业大学,北工,北工大,,,,,,,,,,,,,
对外经济贸易大学,对外经贸,外经贸,贸大,,,,,,,,,,,,
北京科技大学,北科,北科大,,,,,,,,,,,,,
北京邮电大学,北邮,,,,,,,,,,,,,,
北京交通大学,北交,北交大,,,,,,,,,,,,,
中国传媒大学,中传,,,,,,,,,,,,,,
中央民族大学,央民,,,,,,,,,,,,,,
中国石油大学,中石油,,,,,,,,,,,,,,
中国政法大学,中政,法大,中法大,,,,,,,,,,,,
北京外国语大学,北外,,,,,,,,,,,,,,
北京信息科技大学,北信科,,,,,,,,,,,,,,
中国社会科学大学,中国社科大,社科大,,,,,,,,,,,,,
北京第二外国语学院,北二外,,,,,,,,,,,,,,
首都经济贸易大学,首经贸,贸大,,,,,,,,,,,,,
厦门大学,厦大,,,,,,,,,,,,,,
南京大学,南大,,,,,,,,,,,,,,
复旦大学,复旦,,,,,,,,,,,,,,
天津大学,天大,,,,,,,,,,,,,,
浙江大学,浙大,,,,,,,,,,,,,,
西安交通大学,西交,,,,,,,,,,,,,,
东南大学,东南,,,,,,,,,,,,,,
上海交通大学,上交,,,,,,,,,,,,,,
山东大学,山大,,,,,,,,,,,,,,
吉林大学,吉大,,,,,,,,,,,,,,
电子科技大学,电子科大,成电,,,,,,,,,,,,,
四川大学,川大,,,,,,,,,,,,,,
华南理工大学,华南理工,,,,,,,,,,,,,,
兰州大学,兰大,,,,,,,,,,,,,,
西北工业大学,西工大,西北工大,,,,,,,,,,,,,
同济大学,同济,,,,,,,,,,,,,,
哈尔滨工业大学,哈工大,,,,,,,,,,,,,,
南开大学,南开,,,,,,,,,,,,,,
华中科技大学,华中科技大,华科,,,,,,,,,,,,,
武汉大学,武大,,,,,,,,,,,,,,
中国海洋大学,中海洋,,,,,,,,,,,,,,
湖南大学,湖大,,,,,,,,,,,,,,
重庆大学,重大,,,,,,,,,,,,,,
大连理工大学,大连理工,,,,,,,,,,,,,,
中山大学,中山,,,,,,,,,,,,,,
东北大学,东大,,,,,,,,,,,,,,
中南大学,中南,,,,,,,,,,,,,,
国防科技大学,国防科技大,国防科大,,,,,,,,,,,,,
西北农林科技大学,西农,,,,,,,,,,,,,,
华东师范大学,华师大,,,,,,,,,,,,,,
郑州大学,郑大,,,,,,,,,,,,,,
云南大学,云大,,,,,,,,,,,,,,
新疆大学,新大,,,,,,,,,,,,,,
上海财经大学,上财,,,,,,,,,,,,,,
上海外国语大学,上外,,,,,,,,,,,,,,
西安电子科技大学,西电,,,,,,,,,,,,,,
空军军医大学,四医大,,,,,,,,,,,,,,
南京航空航天大学,南航,,,,,,,,,,,,,,
南京理工大学,南理,,,,,,,,,,,,,,
上海大学,上大,,,,,,,,,,,,,,
西南财经大学,西南财大,,,,,,,,,,,,,,
华东理工大学,华东理工,,,,,,,,,,,,,,
海军军医大学,二军大,,,,,,,,,,,,,,
中南财经政法大学,中南大,,,,,,,,,,,,,,
河海大学,河海,,,,,,,,,,,,,,
天津医科大学,天医大,天医,,,,,,,,,,,,,
苏州大学,苏大,,,,,,,,,,,,,,
东华大学,东华,,,,,,,,,,,,,,
西南交通大学,西南交大,,,,,,,,,,,,,,
华中师范大学,华中师大,,,,,,,,,,,,,,
暨南大学,暨大,,,,,,,,,,,,,,
华北电力大学,华电,,,,,,,,,,,,,,
南京师范大学,南师大,,,,,,,,,,,,,,
哈尔滨工程大学,哈工程,,,,,,,,,,,,,,
武汉理工大学,武汉理工,,,,,,,,,,,,,,
陕西师范大学,陕西师大,陕师大,,,,,,,,,,,,,
华南师范大学,华南师大,,,,,,,,,,,,,,
合肥工业大学,合工大,,,,,,,,,,,,,,
西南大学,西大,西南大,,,,,,,,,,,,,
江南大学,江大,,,,,,,,,,,,,,
东北师范大学,东北师大,东师,,,,,,,,,,,,,
安徽大学,安大,,,,,,,,,,,,,,
